sex,age_group,education_level,employment_status,count
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,L°nmodtagere pσ mellemniveau,299
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,L°nmodtagere pσ grundniveau,5525
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Andre l°nmodtagere,1816
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,L°nmodtagere u.n.a.,690
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Arbejdsl°se,29
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,St°ttet beskµftigelse uden l°n,4
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Feriedagpenge,0
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Vejledning og opkvalificering,9
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Ledighedsydelse,0
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,B°rnepasningsorlov fra ledighed,0
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Barselsfravµr fra ledighed,0
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Sygefravµr fra ledighed,0
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Kontanthjµlp (passiv)/integrationsydelse,47
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Revalidering,0
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Ressourceforl°b,0
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Jobafklaringsforl°b,0
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,SU-modtagere,55
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,F°rtidspension,0
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Seniopension,0
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Tidlig pension,0
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Efterl°n,0
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Fleksydelse,0
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Folkepension,0
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Anden pension,0
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Personer under uddannelse (ordinµr),1065
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Kursister,164
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Produktionsskoleelever,0
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Udenlandske studerende,47
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,╪vrige uden for arbejdsstyrken,1358
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Selvstµndige,6
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Medarbejdende µgtefµller,0
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,L°nmodtager med ledelsesarbejde,5
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,L°nmodtagere pσ h°jeste niveau,16
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,L°nmodtagere pσ mellemniveau,83
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,L°nmodtagere pσ grundniveau,560
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Andre l°nmodtagere,103
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,L°nmodtagere u.n.a.,50
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Arbejdsl°se,13
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,St°ttet beskµftigelse uden l°n,1
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Feriedagpenge,0
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Vejledning og opkvalificering,1
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Ledighedsydelse,0
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,B°rnepasningsorlov fra ledighed,0
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Barselsfravµr fra ledighed,0
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Sygefravµr fra ledighed,3
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Kontanthjµlp (passiv)/integrationsydelse,5
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Revalidering,0
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Ressourceforl°b,0
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Jobafklaringsforl°b,0
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,SU-modtagere,2
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,F°rtidspension,0
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Seniopension,0
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Tidlig pension,0
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Efterl°n,0
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Fleksydelse,0
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Folkepension,0
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Anden pension,0
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Personer under uddannelse (ordinµr),88
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Kursister,8
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Produktionsskoleelever,0
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,Udenlandske studerende,1
Mµnd,16-19 σr,H30 Erhvervsfaglige uddannelser,╪vrige uden for arbejdsstyrken,97
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Selvstµndige,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Medarbejdende µgtefµller,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,L°nmodtager med ledelsesarbejde,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,L°nmodtagere pσ h°jeste niveau,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,L°nmodtagere pσ mellemniveau,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,L°nmodtagere pσ grundniveau,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Andre l°nmodtagere,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,L°nmodtagere u.n.a.,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Arbejdsl°se,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,St°ttet beskµftigelse uden l°n,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Feriedagpenge,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Vejledning og opkvalificering,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Ledighedsydelse,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,B°rnepasningsorlov fra ledighed,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Barselsfravµr fra ledighed,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Sygefravµr fra ledighed,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Kontanthjµlp (passiv)/integrationsydelse,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Revalidering,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Ressourceforl°b,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Jobafklaringsforl°b,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,SU-modtagere,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,F°rtidspension,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Seniopension,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Tidlig pension,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Efterl°n,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Fleksydelse,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Folkepension,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Anden pension,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Personer under uddannelse (ordinµr),0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Kursister,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Produktionsskoleelever,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,Udenlandske studerende,0
Mµnd,16-19 σr,H35 Adgangsgivende uddannelsesforl°b,╪vrige uden for arbejdsstyrken,0
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Selvstµndige,0
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Medarbejdende µgtefµller,0
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",L°nmodtager med ledelsesarbejde,0
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",L°nmodtagere pσ h°jeste niveau,1
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",L°nmodtagere pσ mellemniveau,11
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",L°nmodtagere pσ grundniveau,20
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Andre l°nmodtagere,32
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",L°nmodtagere u.n.a.,49
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Arbejdsl°se,1
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",St°ttet beskµftigelse uden l°n,0
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Feriedagpenge,0
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Vejledning og opkvalificering,1
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Ledighedsydelse,0
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",B°rnepasningsorlov fra ledighed,0
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Barselsfravµr fra ledighed,0
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Sygefravµr fra ledighed,0
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Kontanthjµlp (passiv)/integrationsydelse,1
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Revalidering,0
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Ressourceforl°b,0
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Jobafklaringsforl°b,0
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",SU-modtagere,0
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",F°rtidspension,0
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Seniopension,0
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Tidlig pension,0
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Efterl°n,0
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Fleksydelse,0
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Folkepension,0
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Anden pension,0
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Personer under uddannelse (ordinµr),14
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Kursister,8
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Produktionsskoleelever,0
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",Udenlandske studerende,8
Mµnd,16-19 σr,"H40 Korte videregσende uddannelser, KVU",╪vrige uden for arbejdsstyrken,12
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Selvstµndige,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Medarbejdende µgtefµller,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",L°nmodtager med ledelsesarbejde,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",L°nmodtagere pσ h°jeste niveau,3
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",L°nmodtagere pσ mellemniveau,1
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",L°nmodtagere pσ grundniveau,8
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Andre l°nmodtagere,7
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",L°nmodtagere u.n.a.,6
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Arbejdsl°se,7
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",St°ttet beskµftigelse uden l°n,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Feriedagpenge,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Vejledning og opkvalificering,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Ledighedsydelse,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",B°rnepasningsorlov fra ledighed,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Barselsfravµr fra ledighed,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Sygefravµr fra ledighed,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Kontanthjµlp (passiv)/integrationsydelse,1
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Revalidering,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Ressourceforl°b,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Jobafklaringsforl°b,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",SU-modtagere,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",F°rtidspension,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Seniopension,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Tidlig pension,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Efterl°n,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Fleksydelse,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Folkepension,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Anden pension,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Personer under uddannelse (ordinµr),7
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Kursister,2
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Produktionsskoleelever,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",Udenlandske studerende,0
Mµnd,16-19 σr,"H50 Mellemlange videregσende uddannelser, MVU",╪vrige uden for arbejdsstyrken,1
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Selvstµndige,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Medarbejdende µgtefµller,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",L°nmodtager med ledelsesarbejde,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",L°nmodtagere pσ h°jeste niveau,1
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",L°nmodtagere pσ mellemniveau,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",L°nmodtagere pσ grundniveau,1
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Andre l°nmodtagere,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",L°nmodtagere u.n.a.,1
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Arbejdsl°se,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",St°ttet beskµftigelse uden l°n,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Feriedagpenge,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Vejledning og opkvalificering,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Ledighedsydelse,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",B°rnepasningsorlov fra ledighed,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Barselsfravµr fra ledighed,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Sygefravµr fra ledighed,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Kontanthjµlp (passiv)/integrationsydelse,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Revalidering,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Ressourceforl°b,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Jobafklaringsforl°b,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",SU-modtagere,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",F°rtidspension,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Seniopension,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Tidlig pension,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Efterl°n,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Fleksydelse,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Folkepension,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Anden pension,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Personer under uddannelse (ordinµr),0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Kursister,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Produktionsskoleelever,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",Udenlandske studerende,0
Mµnd,16-19 σr,"H60 Bacheloruddannelser, BACH",╪vrige uden for arbejdsstyrken,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Selvstµndige,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Medarbejdende µgtefµller,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",L°nmodtager med ledelsesarbejde,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",L°nmodtagere pσ h°jeste niveau,1
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",L°nmodtagere pσ mellemniveau,2
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",L°nmodtagere pσ grundniveau,5
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Andre l°nmodtagere,4
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",L°nmodtagere u.n.a.,2
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Arbejdsl°se,4
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",St°ttet beskµftigelse uden l°n,1
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Feriedagpenge,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Vejledning og opkvalificering,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Ledighedsydelse,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",B°rnepasningsorlov fra ledighed,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Barselsfravµr fra ledighed,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Sygefravµr fra ledighed,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Kontanthjµlp (passiv)/integrationsydelse,1
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Revalidering,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Ressourceforl°b,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Jobafklaringsforl°b,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",SU-modtagere,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",F°rtidspension,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Seniopension,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Tidlig pension,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Efterl°n,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Fleksydelse,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Folkepension,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Anden pension,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Personer under uddannelse (ordinµr),4
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Kursister,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Produktionsskoleelever,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",Udenlandske studerende,0
Mµnd,16-19 σr,"H70 Lange videregσende uddannelser, LVU",╪vrige uden for arbejdsstyrken,1
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Selvstµndige,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Medarbejdende µgtefµller,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,L°nmodtager med ledelsesarbejde,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,L°nmodtagere pσ h°jeste niveau,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,L°nmodtagere pσ mellemniveau,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,L°nmodtagere pσ grundniveau,2
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Andre l°nmodtagere,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,L°nmodtagere u.n.a.,2
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Arbejdsl°se,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,St°ttet beskµftigelse uden l°n,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Feriedagpenge,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Vejledning og opkvalificering,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Ledighedsydelse,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,B°rnepasningsorlov fra ledighed,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Barselsfravµr fra ledighed,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Sygefravµr fra ledighed,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Kontanthjµlp (passiv)/integrationsydelse,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Revalidering,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Ressourceforl°b,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Jobafklaringsforl°b,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,SU-modtagere,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,F°rtidspension,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Seniopension,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Tidlig pension,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Efterl°n,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Fleksydelse,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Folkepension,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Anden pension,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Personer under uddannelse (ordinµr),3
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Kursister,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Produktionsskoleelever,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,Udenlandske studerende,0
Mµnd,16-19 σr,H80 Ph.d. og forskeruddannelser,╪vrige uden for arbejdsstyrken,0
Mµnd,16-19 σr,H90 Uoplyst mv.,Selvstµndige,2
Mµnd,16-19 σr,H90 Uoplyst mv.,Medarbejdende µgtefµller,0
Mµnd,16-19 σr,H90 Uoplyst mv.,L°nmodtager med ledelsesarbejde,0
Mµnd,16-19 σr,H90 Uoplyst mv.,L°nmodtagere pσ h°jeste niveau,1
Mµnd,16-19 σr,H90 Uoplyst mv.,L°nmodtagere pσ mellemniveau,2
Mµnd,16-19 σr,H90 Uoplyst mv.,L°nmodtagere pσ grundniveau,65
Mµnd,16-19 σr,H90 Uoplyst mv.,Andre l°nmodtagere,33
